Episode,"Case 1: α=0.5, γ=0.2, ε=0.1","Case 2: α=0.1, γ=0.95, ε=0.2","Case 3: α=0.1, γ=0.8, ε=0.7"
522,23.0,-2.0,-8.0
523,23.0,22.5,-28.0
524,1.0,22.5,-14.5
525,-1.0,22.5,-9.5
526,22.5,24.5,-15.0
527,22.5,-5.0,-7.0
528,23.0,-15.5,-6.5
529,21.5,22.0,-9.0
530,23.0,23.0,-1.5
531,23.0,-1.0,-5.0
532,22.5,-3.0,-4.5
533,24.5,23.0,-7.5
534,21.5,-1.0,-7.0
535,21.5,22.0,-7.0
536,23.0,24.5,-5.5
537,-6.5,24.0,-2.0
538,20.5,-6.0,-7.5
539,23.0,24.5,-7.5
540,23.0,17.0,-9.5
541,22.5,23.0,-7.5
542,24.0,22.5,-8.5
543,21.5,-8.5,-5.0
544,23.5,24.5,-3.5
545,23.5,24.5,-13.5
546,21.0,24.0,-11.0
547,23.0,23.0,6.5
548,23.0,24.0,6.5
549,23.0,-0.5,-4.0
550,23.0,23.5,-3.5
551,-4.0,24.5,-3.0
552,23.0,24.0,10.0
553,23.0,24.5,-6.0
554,24.5,22.0,-7.0
555,23.5,23.0,-14.5
556,3.0,24.5,-12.0
557,22.0,-4.5,-7.5
558,23.5,-2.5,-3.0
559,21.5,-7.0,-4.5
560,-8.5,20.0,20.0
561,23.0,-3.0,-6.5
562,23.0,23.5,-6.0
563,23.0,21.5,-30.5
564,22.5,20.5,-11.0
565,22.5,23.5,0.0
566,20.0,21.5,-5.5
567,23.5,24.5,-5.0
568,24.5,0.0,-5.5
569,22.5,20.0,-5.5
570,21.5,22.5,-8.5
571,21.0,-2.0,-6.5
572,22.0,23.0,-8.0
573,23.0,22.5,-8.5
574,-6.0,24.0,-8.0
575,23.0,13.0,-3.5
576,1.5,-1.5,13.5
577,22.5,21.0,13.5
578,21.0,21.0,-3.5
579,23.5,23.0,-19.0
580,21.0,-8.5,16.0
581,23.0,23.5,21.0
582,23.5,24.0,-5.5
583,22.5,23.5,-7.5
584,2.0,2.0,-3.0
585,24.5,24.0,-2.5
586,23.5,-2.5,-9.5
587,22.0,21.0,-10.0
588,22.0,21.5,-18.0
589,23.0,22.0,-6.0
590,22.5,24.0,-4.0
591,22.5,-3.5,-7.5
592,22.5,20.5,-5.0
593,-7.0,-5.5,-4.0
594,22.0,22.0,-5.0
595,19.0,22.0,-6.0
596,21.5,-4.0,-4.0
597,23.5,24.0,-7.5
598,24.0,22.5,-4.5
599,24.0,-3.5,-7.0
600,22.0,22.5,-9.5
601,24.5,23.5,-10.0
602,-2.5,3.5,-5.5
603,2.0,17.5,-5.5
604,22.5,24.0,-12.5
605,23.5,23.0,-5.0
606,23.0,22.0,-8.5
607,16.0,23.0,-3.0
608,24.0,2.5,-5.0
609,22.5,1.0,-6.5
610,22.5,22.0,-5.0
611,22.5,23.5,-2.0
612,21.5,-2.0,-6.5
613,23.0,23.5,-11.5
614,2.5,16.0,-5.0
615,21.5,0.0,-14.0
616,21.0,20.0,-4.5
617,23.0,23.0,-4.5
618,23.5,24.0,15.0
619,25.0,24.0,-5.5
620,23.0,-6.5,-5.0
621,22.5,-1.5,-6.0
622,23.5,21.5,-6.0
623,23.0,-2.0,-6.0
624,21.5,22.0,16.5
625,12.0,22.5,-4.5
626,22.0,23.5,-8.5
627,15.0,23.0,22.0
628,24.0,23.5,-11.5
629,10.5,23.5,-7.5
630,24.0,-1.0,-2.5
631,22.5,23.5,-7.0
632,22.5,-4.0,-5.5
633,21.5,22.0,20.5
634,1.5,20.5,9.0
635,-0.5,21.5,-3.0
636,22.0,24.0,-20.0
637,23.0,2.5,-5.0
638,23.0,24.5,-1.5
639,23.0,-5.0,-4.5
640,22.0,24.5,-4.5
641,24.5,24.5,-6.5
642,23.0,22.5,-5.5
643,22.5,23.5,-13.5
644,-7.0,23.5,-2.5
645,-4.5,-8.5,17.5
646,22.5,24.5,-1.0
647,22.5,21.0,-7.0
648,-2.5,23.0,-9.0
649,23.0,23.0,2.0
650,23.0,23.5,-21.5
651,23.0,23.5,-6.0
652,23.5,-1.0,0.5
653,22.0,21.0,-6.0
654,22.5,22.5,-9.0
655,22.5,20.5,-4.5
656,22.5,-2.5,-13.0
657,22.5,22.5,-23.5
658,23.0,24.0,-16.5
659,22.0,23.0,-2.5
660,23.5,22.0,-4.5
661,23.0,24.0,-7.0
662,22.5,24.5,-3.5
663,19.5,24.5,18.0
664,21.0,-3.0,-8.0
665,22.0,24.5,-4.0
666,23.0,-2.0,-7.0
667,23.0,22.5,15.5
668,22.0,-1.5,-6.5
669,-7.0,22.5,-7.0
670,23.0,21.0,-5.5
671,21.5,23.5,7.0
672,23.0,20.5,-6.0
673,23.0,22.0,-4.5
674,23.0,23.5,-15.0
675,25.0,23.5,-2.5
676,23.0,24.5,-8.0
677,19.0,1.0,-7.0
678,23.0,22.5,-16.5
679,-1.0,24.5,5.0
680,18.0,23.5,-4.0
681,25.0,22.5,-8.0
682,23.0,-2.0,-6.5
683,22.5,21.0,19.5
684,23.0,23.5,-8.0
685,23.0,-1.5,-6.0
686,25.0,22.0,14.5
687,23.0,-2.5,-17.0
688,19.5,23.5,-6.0
689,23.5,24.5,-4.5
690,-5.0,-6.0,-6.0
691,21.5,24.5,-6.0
692,-8.0,0.0,-2.0
693,23.0,-3.5,8.0
694,22.5,23.5,-6.0
695,23.0,23.5,-9.0
696,23.5,23.0,-13.0
697,23.5,23.5,-6.0
698,22.5,-5.5,-1.5
699,23.0,20.0,-6.0
700,1.0,24.5,-7.5
701,22.5,21.5,-8.5
702,23.0,23.0,-5.0
703,22.5,0.0,-4.0
704,20.5,24.0,-7.0
705,23.5,18.0,-3.5
706,23.0,2.5,-8.0
707,22.5,23.0,-2.0
708,-7.0,0.5,-5.0
709,24.0,24.5,-7.5
710,22.5,24.5,-1.0
711,-3.0,23.0,-13.0
712,23.0,2.5,-7.5
713,22.5,20.0,-15.0
714,1.0,-1.0,11.5
715,23.0,24.0,-5.5
716,22.5,23.5,-9.5
717,23.0,19.5,-15.5
718,22.5,23.5,-5.0
719,-2.5,-2.0,-6.5
720,24.0,23.0,-8.0
721,-6.5,24.0,-8.0
722,22.5,-2.0,-5.0
723,-7.0,-1.0,-16.5
724,22.5,19.0,-5.0
725,20.0,23.5,-13.0
